campos de atuação,práticas de linguagem,eixos,unidades temáticas,objetos de conhecimento,habilidades,códigos,subject codes,year codes
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Conhecimento das diversas grafias do alfabeto/ Acentuação,"Conhecer, diferenciar e relacionar letras em formato imprensa e cursiva, maiúsculas e minúsculas.",EF01LP11,port,g1
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Segmentação de palavras/Classificação de palavras por número de sílabas,"Reconhecer a separação das palavras, na escrita, por espaços em branco.",EF01LP12,port,g1
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Construção do sistema alfabético,"Comparar palavras, identificando semelhanças e diferenças entre sons de sílabas mediais e finais.",EF01LP13,port,g1
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Pontuação,"Identificar outros sinais no texto além das letras, como pontos finais, de interrogação e exclamação e seus efeitos na entonação.",EF01LP14,port,g1
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Sinonímia e antonímia/Morfologia/Pontuação,Agrupar palavras pelo critério de aproximação de significado (sinonímia) e separar palavras pelo critério de oposição de significado (antonímia).,EF01LP15,port,g1
Campo da vida cotidiana,Leitura/escuta (compartilhada e autônoma),,,Compreensão em leitura,"Ler e compreender, em colaboração com os colegas e com a ajuda do professor, quadras, quadrinhas, parlendas, trava-línguas, dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto do texto e relacionando sua forma de organização à sua finalidade.",EF01LP16,port,g1
Campo da vida cotidiana,Escrita (compartilhada e autônoma),,,Escrita autônoma e compartilhada,"Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, listas, agendas, calendários, avisos, convites, receitas, instruções de montagem e legendas para álbuns, fotos ou ilustrações (digitais ou impressos), dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto/ finalidade do texto.",EF01LP17,port,g1
Campo da vida cotidiana,Escrita (compartilhada e autônoma),,,Escrita autônoma e compartilhada,"Registrar, em colaboração com os colegas e com a ajuda do professor, cantigas, quadras, quadrinhas, parlendas, trava-línguas, dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto/finalidade do texto.",EF01LP18,port,g1
Campo da vida cotidiana,Oralidade,,,Produção de texto oral,"Recitar parlendas, quadras, quadrinhas, trava-línguas, com entonação adequada e observando as rimas.",EF01LP19,port,g1
Campo da vida cotidiana,Análise linguística/semiótica (Alfabetização),,,Forma de composição do texto,"Identificar e reproduzir, em listas, agendas, calendários, regras, avisos, convites, receitas, instruções de montagem e legendas para álbuns, fotos ou ilustrações (digitais ou impressos), a formatação e diagramação específica de cada um desses gêneros.",EF01LP20,port,g1
Campo da vida pública,Escrita (compartilhada e autônoma),,,Escrita compartilhada,"Escrever, em colaboração com os colegas e com a ajuda do professor, listas de regras e regulamentos que organizam a vida na comunidade escolar, dentre outros gêneros do campo da atuação cidadã, considerando a situação comunicativa e o tema/assunto do texto.",EF01LP21,port,g1
Campo das práticas de estudo e pesquisa,Escrita (compartilhada e autônoma),,,Produção de textos,"Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, diagramas, entrevistas, curiosidades, dentre outros gêneros do campo investigativo, digitais ou impressos, considerando a situação comunicativa e o tema/assunto/finalidade do texto.",EF01LP22,port,g1
Campo das práticas de estudo e pesquisa,Oralidade,,,Planejamento de texto oral Exposição oral,"Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, entrevistas, curiosidades, dentre outros gêneros do campo investigativo, que possam ser repassados oralmente por meio de ferramentas digitais, em áudio ou vídeo, considerando a situação comunicativa e o tema/assunto/finalidade do texto.",EF01LP23,port,g1
Campo das práticas de estudo e pesquisa,Análise linguística/semiótica (Alfabetização),,,Forma de composição dos textos/Adequação do texto às normas de escrita,"Identificar e reproduzir, em enunciados de tarefas escolares, diagramas, entrevistas, curiosidades, digitais ou impressos, a formatação e diagramação específica de cada um desses gêneros, inclusive em suas versões orais.",EF01LP24,port,g1
Campo artístico-literário,Escrita (compartilhada e autônoma),,,Escrita autônoma e compartilhada,"Produzir, tendo o professor como escriba, recontagens de histórias lidas pelo professor, histórias imaginadas ou baseadas em livros de imagens, observando a forma de composição de textos narrativos (personagens, enredo, tempo e espaço).",EF01LP25,port,g1
Campo artístico-literário,Análise linguística/semiótica (Alfabetização),,,Formas de composição de narrativas,"Identificar elementos de uma narrativa lida ou escutada, incluindo personagens, enredo, tempo e espaço.",EF01LP26,port,g1
Todos os campos de atuação,Leitura/escuta (compartilhada e autônoma),,,Decodificação/Fluência de leitura,"Ler palavras novas com precisão na decodificação, no caso de palavras de uso frequente, ler globalmente, por memorização.",EF12LP01,port,"g1, g2"
Todos os campos de atuação,Leitura/escuta (compartilhada e autônoma),,,Formação de leitor,"Buscar, selecionar e ler, com a mediação do professor (leitura compartilhada), textos que circulam em meios impressos ou digitais, de acordo com as necessidades e interesses.",EF12LP02,port,"g1, g2"
Todos os campos de atuação,Escrita (compartilhada e autônoma),,,Construção do sistema alfabético/ Estabelecimento de relações anafóricas na referenciação e construção da coesão,"Copiar textos breves, mantendo suas características e voltando para o texto sempre que tiver dúvidas sobre sua distribuição gráfica, espaçamento entre as palavras, escrita das palavras e pontuação.",EF12LP03,port,"g1, g2"
Campo da vida cotidiana,Leitura/escuta (compartilhada e autônoma),,,Compreensão em leitura,"Ler e compreender, em colaboração com os colegas e com a ajuda do professor ou já com certa autonomia, listas, agendas, calendários, avisos, convites, receitas, instruções de montagem (digitais ou impressos), dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto do texto e relacionando sua forma de organização à sua finalidade.",EF12LP04,port,"g1, g2"
Campo da vida cotidiana,Escrita (compartilhada e autônoma),,,Escrita compartilhada,"Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, (re)contagens de histórias, poemas e outros textos versificados (letras de canção, quadrinhas, cordel), poemas visuais, tiras e histórias em quadrinhos, dentre outros gêneros do campo artístico-literário, considerando a situação comunicativa e a finalidade do texto.",EF12LP05,port,"g1, g2"
Campo da vida cotidiana,Oralidade,,,Produção de texto oral,"Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, recados, avisos, convites, receitas, instruções de montagem, dentre outros gêneros do campo da vida cotidiana, que possam ser repassados oralmente por meio de ferramentas digitais, em áudio ou vídeo, considerando a situação comunicativa e o tema/assunto/finalidade do texto.",EF12LP06,port,"g1, g2"
Campo da vida cotidiana,Análise linguística/semiótica (Alfabetização),,,Forma de composição do texto,"Identificar e (re)produzir, em cantiga, quadras, quadrinhas, parlendas, trava-línguas e canções, rimas, aliterações, assonâncias, o ritmo de fala relacionado ao ritmo e à melodia das músicas e seus efeitos de sentido.",EF12LP07,port,"g1, g2"
Campo da vida pública,Leitura/escuta (compartilhada e autônoma),,,Compreensão em leitura,"Ler e compreender, em colaboração com os colegas e com a ajuda do professor, fotolegendas em notícias, manchetes e lides em notícias, álbum de fotos digital noticioso e notícias curtas para público infantil, dentre outros gêneros do campo jornalístico, considerando a situação comunicativa e o tema/assunto do texto.",EF12LP08,port,"g1, g2"
Campo da vida pública,Leitura/escuta (compartilhada e autônoma),,,Compreensão em leitura,"Ler e compreender, em colaboração com os colegas e com a ajuda do professor, slogans, anúncios publicitários e textos de campanhas de conscientização destinados ao público infantil, dentre outros gêneros do campo publicitário, considerando a situação comunicativa e o tema/assunto do texto.",EF12LP09,port,"g1, g2"
Campo da vida pública,Leitura/escuta (compartilhada e autônoma),,,Compreensão em leitura,"Ler e compreender, em colaboração com os colegas e com a ajuda do professor, cartazes, avisos, folhetos, regras e regulamentos que organizam a vida na comunidade escolar, dentre outros gêneros do campo da atuação cidadã, considerando a situação comunicativa e o tema/assunto do texto.",EF12LP10,port,"g1, g2"
Campo da vida pública,Escrita (compartilhada e autônoma),,,Escrita compartilhada,"Escrever, em colaboração com os colegas e com a ajuda do professor, fotolegendas em notícias, manchetes e lides em notícias, álbum de fotos digital noticioso e notícias curtas para público infantil, digitais ou impressos, dentre outros gêneros do campo jornalístico, considerando a situação comunicativa e o tema/assunto do texto.",EF12LP11,port,"g1, g2"
Campo da vida pública,Escrita (compartilhada e autônoma),,,Escrita compartilhada,"Escrever, em colaboração com os colegas e com a ajuda do professor, slogans, anúncios publicitários e textos de campanhas de conscientização destinados ao público infantil, dentre outros gêneros do campo publicitário, considerando a situação comunicativa e o tema/ assunto/finalidade do texto.",EF12LP12,port,"g1, g2"
Campo da vida pública,Oralidade,,,Produção de texto oral,"Planejar, em colaboração com os colegas e com a ajuda do professor, slogans e peça de campanha de conscientização destinada ao público infantil que possam ser repassados oralmente por meio de ferramentas digitais, em áudio ou vídeo, considerando a situação comunicativa e o tema/assunto/finalidade do texto.",EF12LP13,port,"g1, g2"
Campo da vida pública,Análise linguística/semiótica (Alfabetização),,,Forma de composição do texto,"Identificar e reproduzir, em fotolegendas de notícias, álbum de fotos digital noticioso, cartas de leitor (revista infantil), digitais ou impressos, a formatação e diagramação específica de cada um desses gêneros, inclusive em suas versões orais.",EF12LP14,port,"g1, g2"
Campo da vida pública,Análise linguística/semiótica (Alfabetização),,,Forma de composição do texto,Identificar a forma de composição de slogans publicitários.,EF12LP15,port,"g1, g2"
Campo da vida pública,Análise linguística/semiótica (Alfabetização),,,Forma de composição do texto,"Identificar e reproduzir, em anúncios publicitários e textos de campanhas de conscientização destinados ao público infantil (orais e escritos, digitais ou impressos), a formatação e diagramação específica de cada um desses gêneros, inclusive o uso de imagens.",EF12LP16,port,"g1, g2"
Campo das práticas de estudo e pesquisa,Leitura/escuta (compartilhada e autônoma),,,Compreensão em leitura,"Ler e compreender, em colaboração com os colegas e com a ajuda do professor, enunciados de tarefas escolares, diagramas, curiosidades, pequenos relatos de experimentos, entrevistas, verbetes de enciclopédia infantil, entre outros gêneros do campo investigativo, considerando a situação comunicativa e o tema/assunto do texto.",EF12LP17,port,"g1, g2"
Campo artístico-literário,Leitura/escuta (compartilhada e autônoma),,,Apreciação estética/Estilo,"Apreciar poemas e outros textos versificados, observando rimas, sonoridades, jogos de palavras, reconhecendo seu pertencimento ao mundo imaginário e sua dimensão de encantamento, jogo e fruição.",EF12LP18,port,"g1, g2"
Campo artístico-literário,Análise linguística/semiótica (Alfabetização),,,Formas de composição de textos poéticos,"Reconhecer, em textos versificados, rimas, sonoridades, jogos de palavras, palavras, expressões, comparações, relacionando-as com sensações e associações.",EF12LP19,port,"g1, g2"
Todos os campos de atuação,Leitura/escuta (compartilhada e autônoma),,,Reconstrução das condições de produção e recepção de textos,"Identificar a função social de textos que circulam em campos da vida social dos quais participa cotidianamente (a casa, a rua, a comunidade, a escola) e nas mídias impressa, de massa e digital, reconhecendo para que foram produzidos, onde circulam, quem os produziu e a quem se destinam.",EF15LP01,port,"g1, g2, g3, g4, g5"
Todos os campos de atuação,Leitura/escuta (compartilhada e autônoma),,,Estratégia de leitura,"Estabelecer expectativas em relação ao texto que vai ler (pressuposições antecipadoras dos sentidos, da forma e da função social do texto), apoiando-se em seus conhecimentos prévios sobre as condições de produção e recepção desse texto, o gênero, o suporte e o universo temático, bem como sobre saliências textuais, recursos gráficos, imagens, dados da própria obra (índice, prefácio etc.), confirmando antecipações e inferências realizadas antes e durante a leitura de textos, checando a adequação das hipóteses realizadas.",EF15LP02,port,"g1, g2, g3, g4, g5"
Todos os campos de atuação,Leitura/escuta (compartilhada e autônoma),,,Estratégia de leitura,Localizar informações explícitas em textos.,EF15LP03,port,"g1, g2, g3, g4, g5"
Todos os campos de atuação,Leitura/escuta (compartilhada e autônoma),,,Estratégia de leitura,Identificar o efeito de sentido produzido pelo uso de recursos expressivos gráfico-visuais em textos multissemióticos.,EF15LP04,port,"g1, g2, g3, g4, g5"
Todos os campos de atuação,Produção de textos (escrita compartilhada e autônoma),,,Planejamento de texto,"Planejar, com a ajuda do professor, o texto que será produzido, considerando a situação comunicativa, os interlocutores (quem escreve/para quem escreve); a finalidade ou o propósito (escrever para quê); a circulação (onde o texto vai circular); o suporte (qual é o portador do texto); a linguagem, organização e forma do texto e seu tema, pesquisando em meios impressos ou digitais, sempre que for preciso, informações necessárias à produção do texto, organizando em tópicos os dados e as fontes pesquisadas.",EF15LP05,port,"g1, g2, g3, g4, g5"
Todos os campos de atuação,Produção de textos (escrita compartilhada e autônoma),,,Revisão de textos,"Reler e revisar o texto produzido com a ajuda do professor e a colaboração dos colegas, para corrigi-lo e aprimorá-lo, fazendo cortes, acréscimos, reformulações, correções de ortografia e pontuação.",EF15LP06,port,"g1, g2, g3, g4, g5"
Todos os campos de atuação,Produção de textos (escrita compartilhada e autônoma),,,Edição de textos,"Editar a versão final do texto, em colaboração com os colegas e com a ajuda do professor, ilustrando, quando for o caso, em suporte adequado, manual ou digital.",EF15LP07,port,"g1, g2, g3, g4, g5"
Todos os campos de atuação,Produção de textos (escrita compartilhada e autônoma),,,Utilização de tecnologia digital,"Utilizar software, inclusive programas de edição de texto, para editar e publicar os textos produzidos, explorando os recursos multissemióticos disponíveis.",EF15LP08,port,"g1, g2, g3, g4, g5"
Todos os campos de atuação,Oralidade,,,Oralidade pública/Intercâmbio conversacional em sala de aula,"Expressar-se em situações de intercâmbio oral com clareza, preocupando-se em ser compreendido pelo interlocutor e usando a palavra com tom de voz audível, boa articulação e ritmo adequado.",EF15LP09,port,"g1, g2, g3, g4, g5"
Todos os campos de atuação,Oralidade,,,Escuta atenta,"Escutar, com atenção, falas de professores e colegas, formulando perguntas pertinentes ao tema e solicitando esclarecimentos sempre que necessário.",EF15LP10,port,"g1, g2, g3, g4, g5"
Todos os campos de atuação,Oralidade,,,Características da conversação espontânea,"Reconhecer características da conversação espontânea presencial, respeitando os turnos de fala, selecionando e utilizando, durante a conversação, formas de tratamento adequadas, de acordo com a situação e a posição do interlocutor.",EF15LP11,port,"g1, g2, g3, g4, g5"
Todos os campos de atuação,Oralidade,,,Aspectos não linguísticos (paralinguísticos) no ato da fala,"Atribuir significado a aspectos não linguísticos (paralinguísticos) observados na fala, como direção do olhar, riso, gestos, movimentos da cabeça (de concordância ou discordância), expressão corporal, tom de voz.",EF15LP12,port,"g1, g2, g3, g4, g5"
Todos os campos de atuação,Oralidade,,,Relato oral/Registro formal e informal,"Identificar finalidades da interação oral em diferentes contextos comunicativos (solicitar informações, apresentar opiniões, informar, relatar experiências etc.).",EF15LP13,port,"g1, g2, g3, g4, g5"
Campo da vida cotidiana,Leitura/escuta (compartilhada e autônoma),,,Leitura de imagens em narrativas visuais,"Construir o sentido de histórias em quadrinhos e tirinhas, relacionando imagens e palavras e interpretando recursos gráficos (tipos de balões, de letras, onomatopeias).",EF15LP14,port,"g1, g2, g3, g4, g5"
Campo artístico-literário,Leitura/escuta (compartilhada e autônoma),,,Formação do leitor literário,"Reconhecer que os textos literários fazem parte do mundo do imaginário e apresentam uma dimensão lúdica, de encantamento, valorizando-os, em sua diversidade cultural, como patrimônio artístico da humanidade.",EF15LP15,port,"g1, g2, g3, g4, g5"
Campo artístico-literário,Leitura/escuta (compartilhada e autônoma),,,Leitura colaborativa e autônoma,"Ler e compreender, em colaboração com os colegas e com a ajuda do professor e, mais tarde, de maneira autônoma, textos narrativos de maior porte como contos (populares, de fadas, acumulativos, de assombração etc.) e crônicas.",EF15LP16,port,"g1, g2, g3, g4, g5"
Campo artístico-literário,Leitura/escuta (compartilhada e autônoma),,,Apreciação estética/Estilo,"Apreciar poemas visuais e concretos, observando efeitos de sentido criados pelo formato do texto na página, distribuição e diagramação das letras, pelas ilustrações e por outros efeitos visuais.",EF15LP17,port,"g1, g2, g3, g4, g5"
Campo artístico-literário,Leitura/escuta (compartilhada e autônoma),,,Formação do leitor literário/Leitura multissemiótica,Relacionar texto com ilustrações e outros recursos gráficos.,EF15LP18,port,"g1, g2, g3, g4, g5"
Campo artístico-literário,Oralidade,,,Contagem de histórias,"Recontar oralmente, com e sem apoio de imagem, textos literários lidos pelo professor.",EF15LP19,port,"g1, g2, g3, g4, g5"
Todos os campos de atuação,Escrita (compartilhada e autônoma),,,Construção do sistema alfabético/ Convenções da escrita,"Utilizar, ao produzir o texto, grafia correta de palavras conhecidas ou com estruturas silábicas já dominadas, letras maiúsculas em início de frases e em substantivos próprios, segmentação entre as palavras, ponto final, ponto de interrogação e ponto de exclamação.",EF02LP01,port,g2
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Construção do sistema alfabético e da ortografia,"Segmentar palavras em sílabas e remover e substituir sílabas iniciais, mediais ou finais para criar novas palavras.",EF02LP02,port,g2
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Construção do sistema alfabético e da ortografia,"Ler e escrever palavras com correspondências regulares diretas entre letras e fonemas (f, v, t, d, p, b) e correspondências regulares contextuais (c e q; e e o, em posição átona em final de palavra).",EF02LP03,port,g2
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Construção do sistema alfabético e da ortografia,"Ler e escrever corretamente palavras com sílabas CV, V, CVC, CCV, identificando que existem vogais em todas as sílabas.",EF02LP04,port,g2
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Construção do sistema alfabético e da ortografia,"Ler e escrever corretamente palavras com marcas de nasalidade (til, m, n).",EF02LP05,port,g2
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Conhecimento do alfabeto do português do Brasil,Perceber o princípio acrofônico que opera nos nomes das letras do alfabeto.,EF02LP06,port,g2
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Conhecimento das diversas grafias do alfabeto/ Acentuação,"Escrever palavras, frases, textos curtos nas formas imprensa e cursiva.",EF02LP07,port,g2
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Segmentação de palavras/Classificação de palavras por número de sílabas,Segmentar corretamente as palavras ao escrever frases e textos.,EF02LP08,port,g2
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Pontuação,"Usar adequadamente ponto final, ponto de interrogação e ponto de exclamação.",EF02LP09,port,g2
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Sinonímia e antonímia/Morfologia/Pontuação,"Identificar sinônimos de palavras de texto lido, determinando a diferença de sentido entre eles, e formar antônimos de palavras encontradas em texto lido pelo acréscimo do prefixo de negação in-/im-.",EF02LP10,port,g2
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Morfologia,Formar o aumentativo e o diminutivo de palavras com os sufixos -ão e -inho/-zinho.,EF02LP11,port,g2
Campo da vida cotidiana,Leitura/escuta (compartilhada e autônoma),,,Compreensão em leitura,"Ler e compreender com certa autonomia cantigas, letras de canção, dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto do texto e relacionando sua forma de organização à sua finalidade.",EF02LP12,port,g2
Campo da vida cotidiana,Escrita (compartilhada e autônoma),,,Escrita autônoma e compartilhada,"Planejar e produzir bilhetes e cartas, em meio impresso e/ou digital, dentre outros gêneros do campo da vida cotidiana, considerando a situação comunicativa e o tema/assunto/finalidade do texto.",EF02LP13,port,g2
Campo da vida cotidiana,Escrita (compartilhada e autônoma),,,Escrita autônoma e compartilhada,"Planejar e produzir pequenos relatos de observação de processos, de fatos, de experiências pessoais, mantendo as características do gênero, considerando a situação comunicativa e o tema/assunto do texto.",EF02LP14,port,g2
Campo da vida cotidiana,Oralidade,,,Produção de texto oral,"Cantar cantigas e canções, obedecendo ao ritmo e à melodia.",EF02LP15,port,g2
Campo da vida cotidiana,Análise linguística/semiótica (Alfabetização),,,Forma de composição do texto,"Identificar e reproduzir, em bilhetes, recados, avisos, cartas, e-mails, receitas (modo de fazer), relatos (digitais ou impressos), a formatação e diagramação específica de cada um desses gêneros.",EF02LP16,port,g2
Campo da vida cotidiana,Análise linguística/semiótica (Alfabetização),,,Forma de composição do texto,"Identificar e reproduzir, em relatos de experiências pessoais, a sequência dos fatos, utilizando expressões que marquem a passagem do tempo (“antes”, “depois”, “ontem”, “hoje”, “amanhã”, “outro dia”, “antigamente”, “há muito tempo” etc.), e o nível de informatividade necessário.",EF02LP17,port,g2
Campo da vida pública,Escrita (compartilhada e autônoma),,,Escrita compartilhada,"Planejar e produzir cartazes e folhetos para divulgar eventos da escola ou da comunidade, utilizando linguagem persuasiva e elementos textuais e visuais (tamanho da letra, leiaute, imagens) adequados ao gênero, considerando a situação comunicativa e o tema/assunto do texto.",EF02LP18,port,g2
Campo da vida pública,Oralidade,,,Produção de texto oral,"Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, notícias curtas para público infantil, para compor jornal falado que possa ser repassado oralmente ou em meio digital, em áudio ou vídeo, dentre outros gêneros do campo jornalístico, considerando a situação comunicativa e o tema/assunto do texto.",EF02LP19,port,g2
Campo das práticas de estudo e pesquisa,Leitura/escuta (compartilhada e autônoma),,,Imagens analíticas em textos,"Reconhecer a função de textos utilizados para apresentar informações coletadas em atividades de pesquisa (enquetes, pequenas entrevistas, registros de experimentações).",EF02LP20,port,g2
Campo das práticas de estudo e pesquisa,Leitura/escuta (compartilhada e autônoma),,,Pesquisa,"Explorar, com a mediação do professor, textos informativos de diferentes ambientes digitais de pesquisa, conhecendo suas possibilidades.",EF02LP21,port,g2
Campo das práticas de estudo e pesquisa,Escrita (compartilhada e autônoma),,,Produção de textos,"Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, pequenos relatos de experimentos, entrevistas, verbetes de enciclopédia infantil, dentre outros gêneros do campo investigativo, digitais ou impressos, considerando a situação comunicativa e o tema/assunto/finalidade do texto.",EF02LP22,port,g2
Campo das práticas de estudo e pesquisa,Escrita (compartilhada e autônoma),,,Escrita autônoma,"Planejar e produzir, com certa autonomia, pequenos registros de observação de resultados de pesquisa, coerentes com um tema investigado.",EF02LP23,port,g2
Campo das práticas de estudo e pesquisa,Oralidade,,,Planejamento de texto oral Exposição oral,"Planejar e produzir, em colaboração com os colegas e com a ajuda do professor, relatos de experimentos, registros de observação, entrevistas, dentre outros gêneros do campo investigativo, que possam ser repassados oralmente por meio de ferramentas digitais, em áudio ou vídeo, considerando a situação comunicativa e o tema/assunto/ finalidade do texto.",EF02LP24,port,g2
Campo das práticas de estudo e pesquisa,Análise linguística/semiótica (Alfabetização),,,Forma de composição dos textos/Adequação do texto às normas de escrita,"Identificar e reproduzir, em relatos de experimentos, entrevistas, verbetes de enciclopédia infantil, digitais ou impressos, a formatação e diagramação específica de cada um desses gêneros, inclusive em suas versões orais.",EF02LP25,port,g2
Campo artístico-literário,Leitura/escuta (compartilhada e autônoma),,,Formação do leitor literário,"Ler e compreender, com certa autonomia, textos literários, de gêneros variados, desenvolvendo o gosto pela leitura.",EF02LP26,port,g2
Campo artístico-literário,Escrita (compartilhada e autônoma),,,Escrita autônoma e compartilhada,Reescrever textos narrativos literários lidos pelo professor.,EF02LP27,port,g2
Campo artístico-literário,Análise linguística/semiótica (Alfabetização),,,Formas de composição de narrativas,"Reconhecer o conflito gerador de uma narrativa ficcional e sua resolução, além de palavras, expressões e frases que caracterizam personagens e ambientes.",EF02LP28,port,g2
Campo artístico-literário,Análise linguística/semiótica (Alfabetização),,,Formas de composição de textos poéticos visuais,"Observar, em poemas visuais, o formato do texto na página, as ilustrações e outros efeitos visuais.",EF02LP29,port,g2
Todos os campos de atuação,Análise linguística/semiótica (Ortografização),,,Construção do sistema alfabético e da ortografia,"Ler e escrever palavras com correspondências regulares contextuais entre grafemas e fonemas – c/qu; g/gu; r/rr; s/ss; o (e não u) e e (e não i) em sílaba átona em final de palavra – e com marcas de nasalidade (til, m, n).",EF03LP01,port,g3
Todos os campos de atuação,Análise linguística/semiótica (Ortografização),,,Construção do sistema alfabético e da ortografia,"Ler e escrever corretamente palavras com sílabas CV, V, CVC, CCV, VC, VV, CVV, identificando que existem vogais em todas as sílabas.",EF03LP02,port,g3
Todos os campos de atuação,Análise linguística/semiótica (Ortografização),,,Construção do sistema alfabético e da ortografia,"Ler e escrever corretamente palavras com os dígrafos lh, nh, ch.",EF03LP03,port,g3
Todos os campos de atuação,Análise linguística/semiótica (Ortografização),,,Conhecimento das diversas grafias do alfabeto/ Acentuação,"Usar acento gráfico (agudo ou circunflexo) em monossílabos tônicos terminados em a, e, o e em palavras oxítonas terminadas em a, e, o, seguidas ou não de s.",EF03LP04,port,g3
Todos os campos de atuação,Análise linguística/semiótica (Ortografização),,,Segmentação de palavras/Classificação de palavras por número de sílabas,"Identificar o número de sílabas de palavras, classificando-as em monossílabas, dissílabas, trissílabas e polissílabas.",EF03LP05,port,g3
Todos os campos de atuação,Análise linguística/semiótica (Ortografização),,,Construção do sistema alfabético,"Identificar a sílaba tônica em palavras, classificando-as em oxítonas, paroxítonas e proparoxítonas.",EF03LP06,port,g3
Todos os campos de atuação,Análise linguística/semiótica (Ortografização),,,Pontuação,"Identificar a função na leitura e usar na escrita ponto final, ponto de interrogação, ponto de exclamação e, em diálogos (discurso direto), dois-pontos e travessão.",EF03LP07,port,g3
Todos os campos de atuação,Análise linguística/semiótica (Ortografização),,,Morfologia,"Identificar e diferenciar, em textos, substantivos e verbos e suas funções na oração: agente, ação, objeto da ação.",EF03LP08,port,g3
Todos os campos de atuação,Análise linguística/semiótica (Ortografização),,,Morfossintaxe,"Identificar, em textos, adjetivos e sua função de atribuição de propriedades aos substantivos.",EF03LP09,port,g3
Todos os campos de atuação,Análise linguística/semiótica (Ortografização),,,Morfologia,"Reconhecer prefixos e sufixos produtivos na formação de palavras derivadas de substantivos, de adjetivos e de verbos, utilizando-os para compreender palavras e para formar novas palavras.",EF03LP10,port,g3
