campos de atuação,práticas de linguagem,eixos,unidades temáticas,objetos de conhecimento,habilidades,códigos,subject codes,year codes
Campo jornalístico/midiático,Oralidade,,,Planejamento e produção de entrevistas orais,"Definir o contexto de produção da entrevista (objetivos, o que se pretende conseguir, porque aquele entrevistado etc.), levantar informações sobre o entrevistado e sobre o acontecimento ou tema em questão, preparar o roteiro de perguntar e realizar entrevista oral com envolvidos ou especialistas relacionados com o fato noticiado ou com o tema em pauta, usando roteiro previamente elaborado e formulando outras perguntas a partir das respostas dadas e, quando for o caso, selecionar partes, transcrever e proceder a uma edição escrita do texto, adequando-o a seu contexto de publicação, à construção composicional do gênero e garantindo a relevância das informações mantidas e a continuidade temática.",EF67LP14,port,"g6, g7"
Campo de atuação na vida pública,Leitura,,,Estratégias e procedimentos de leitura em textos legais e normativos,"Identificar a proibição imposta ou o direito garantido, bem como as circunstâncias de sua aplicação, em artigos relativos a normas, regimentos escolares, regimentos e estatutos da sociedade civil, regulamentações para o mercado publicitário, Código de Defesa do Consumidor, Código Nacional de Trânsito, ECA, Constituição, dentre outros.",EF67LP15,port,"g6, g7"
Campo de atuação na vida pública,Leitura,,,"Contexto de produção, circulação e recepção de textos e práticas relacionadas à defesa de direitos e à participação social","Explorar e analisar espaços de reclamação de direitos e de envio de solicitações (tais como ouvidorias, SAC, canais ligados a órgãos públicos, plataformas do consumidor, plataformas de reclamação), bem como de textos pertencentes a gêneros que circulam nesses espaços, reclamação ou carta de reclamação, solicitação ou carta de solicitação, como forma de ampliar as possibilidades de produção desses textos em casos que remetam a reivindicações que envolvam a escola, a comunidade ou algum de seus membros como forma de se engajar na busca de solução de problemas pessoais, dos outros e coletivos.",EF67LP16,port,"g6, g7"
Campo de atuação na vida pública,Leitura,,,"Relação entre contexto de produção e características composicionais e estilísticas dos gêneros (carta de solicitação, carta de reclamação, petição on-line, carta aberta, abaixo-assinado, proposta etc.)
Apreciação e réplica","Analisar, a partir do contexto de produção, a forma de organização das cartas de solicitação e de reclamação (datação, forma de início, apresentação contextualizada do pedido ou da reclamação, em geral, acompanhada de explicações, argumentos e/ou relatos do problema, fórmula de finalização mais ou menos cordata, dependendo do tipo de carta e subscrição) e algumas das marcas linguísticas relacionadas à argumentação, explicação ou relato de fatos, como forma de possibilitar a escrita fundamentada de cartas como essas ou de postagens em canais próprios de reclamações e solicitações em situações que envolvam questões relativas à escola, à comunidade ou a algum dos seus membros.",EF67LP17,port,"g6, g7"
Campo de atuação na vida pública,Leitura,,,"Estratégias, procedimentos de leitura em textos reivindicatórios ou propositivos","Identificar o objeto da reclamação e/ou da solicitação e sua sustentação, explicação ou justificativa, de forma a poder analisar a pertinência da solicitação ou justificação.",EF67LP18,port,"g6, g7"
Campo de atuação na vida pública,Produção de textos,,,Estratégia de produção: planejamento de textos reivindicatórios ou propositivos,"Realizar levantamento de questões, problemas que requeiram a denúncia de desrespeito a direitos, reivindicações, reclamações, solicitações que contemplem a comunidade escolar ou algum de seus membros e examinar normas e legislações.",EF67LP19,port,"g6, g7"
Campo das práticas de estudo e pesquisa,Leitura,,,Curadoria de informação,"Realizar pesquisa, a partir de recortes e questões definidos previamente, usando fontes indicadas e abertas.",EF67LP20,port,"g6, g7"
Campo das práticas de estudo e pesquisa,Produção de textos,,,"Estratégias de escrita: textualização, revisão e edição","Divulgar resultados de pesquisas por meio de apresentações orais, painéis, artigos de divulgação científica, verbetes de enciclopédia, podcasts científicos etc.",EF67LP21,port,"g6, g7"
Campo das práticas de estudo e pesquisa,Produção de textos,,,"Estratégias de escrita: textualização, revisão e edição","Produzir resumos, a partir das notas e/ou esquemas feitos, com o uso adequado de paráfrases e citações.",EF67LP22,port,"g6, g7"
Campo das práticas de estudo e pesquisa,Oralidade,,,Conversação espontânea,"Respeitar os turnos de fala, na participação em conversações e em discussões ou atividades coletivas, na sala de aula e na escola e formular perguntas coerentes e adequadas em momentos oportunos em situações de aulas, apresentação oral, seminário etc.",EF67LP23,port,"g6, g7"
Campo das práticas de estudo e pesquisa,Oralidade,,,Procedimentos de apoio à compreensão Tomada de nota,"Tomar nota de aulas, apresentações orais, entrevistas (ao vivo, áudio, TV, vídeo), identificando e hierarquizando as informações principais, tendo em vista apoiar o estudo e a produção de sínteses e reflexões pessoais ou outros objetivos em questão.",EF67LP24,port,"g6, g7"
Campo das práticas de estudo e pesquisa,Análise linguística/semiótica,,,Textualização Progressão temática,"Reconhecer e utilizar os critérios de organização tópica (do geral para o específico, do específico para o geral etc.), as marcas linguísticas dessa organização (marcadores de ordenação e enumeração, de explicação, definição e exemplificação, por exemplo) e os mecanismos de paráfrase, de maneira a organizar mais adequadamente a coesão e a progressão temática de seus textos.",EF67LP25,port,"g6, g7"
Campo das práticas de estudo e pesquisa,Análise linguística/semiótica,,,Textualização,Reconhecer a estrutura de hipertexto em textos de divulgação científica e proceder à remissão a conceitos e relações por meio de notas de rodapés ou boxes.,EF67LP26,port,"g6, g7"
Campo artístico-literário,Leitura,,,Relação entre textos,"Analisar, entre os textos literários e entre estes e outras manifestações artísticas (como cinema, teatro, música, artes visuais e midiáticas), referências explícitas ou implícitas a outros textos, quanto aos temas, personagens e recursos literários e semióticos",EF67LP27,port,"g6, g7"
Campo artístico-literário,Leitura,,,Estratégias de leitura Apreciação e réplica,"Ler, de forma autônoma, e compreender – selecionando procedimentos e estratégias de leitura adequados a diferentes objetivos e levando em conta características dos gêneros e suportes –, romances infantojuvenis, contos populares, contos de terror, lendas brasileiras, indígenas e africanas, narrativas de aventuras, narrativas de enigma, mitos, crônicas, autobiografias, histórias em quadrinhos, mangás, poemas de forma livre e fixa (como sonetos e cordéis), vídeo-poemas, poemas visuais, dentre outros, expressando avaliação sobre o texto lido e estabelecendo preferências por gêneros, temas, autores.",EF67LP28,port,"g6, g7"
Campo artístico-literário,Leitura,,,"Reconstrução da textualidade
Efeitos de sentidos provocados pelos usos de recursos linguísticos e multissemióticos","Identificar, em texto dramático, personagem, ato, cena, fala e indicações cênicas e a organização do texto: enredo, conflitos, ideias principais, pontos de vista, universos de referência.",EF67LP29,port,"g6, g7"
Campo artístico-literário,Produção de textos,,,Construção da textualidade Relação entre textos,"Criar narrativas ficcionais, tais como contos populares, contos de suspense, mistério, terror, humor, narrativas de enigma, crônicas, histórias em quadrinhos, dentre outros, que utilizem cenários e personagens realistas ou de fantasia, observando os elementos da estrutura narrativa próprios ao gênero pretendido, tais como enredo, personagens, tempo, espaço e narrador, utilizando tempos verbais adequados à narração de fatos passados, empregando conhecimentos sobre diferentes modos de se iniciar uma história e de inserir os discursos direto e indireto.",EF67LP30,port,"g6, g7"
Campo artístico-literário,Produção de textos,,,Construção da textualidade Relação entre textos,"Criar poemas compostos por versos livres e de forma fixa (como quadras e sonetos), utilizando recursos visuais, semânticos e sonoros, tais como cadências, ritmos e rimas, e poemas visuais e vídeo-poemas, explorando as relações entre imagem e texto verbal, a distribuição da mancha gráfica (poema visual) e outros recursos visuais e sonoros.",EF67LP31,port,"g6, g7"
Todos os campos de atuação,Análise linguística/semiótica,,,Fono-ortografia,"Escrever palavras com correção ortográfica, obedecendo as convenções da língua escrita.",EF67LP32,port,"g6, g7"
Todos os campos de atuação,Análise linguística/semiótica,,,Elementos notacionais da escrita,Pontuar textos adequadamente.,EF67LP33,port,"g6, g7"
Todos os campos de atuação,Análise linguística/semiótica,,,Léxico/morfologia,Formar antônimos com acréscimo de prefixos que expressam noção de negação.,EF67LP34,port,"g6, g7"
Todos os campos de atuação,Análise linguística/semiótica,,,Léxico/morfologia,Distinguir palavras derivadas por acréscimo de afixos e palavras compostas.,EF67LP35,port,"g6, g7"
Todos os campos de atuação,Análise linguística/semiótica,,,Coesão,"Utilizar, ao produzir texto, recursos de coesão referencial (léxica e pronominal) e sequencial e outros recursos expressivos adequados ao gênero textual.",EF67LP36,port,"g6, g7"
Todos os campos de atuação,Análise linguística/semiótica,,,Sequências textuais,"Analisar, em diferentes textos, os efeitos de sentido decorrentes do uso de recursos linguístico-discursivos de prescrição, causalidade, sequências descritivas e expositivas e ordenação de eventos.",EF67LP37,port,"g6, g7"
Todos os campos de atuação,Análise linguística/semiótica,,,Figuras de linguagem,"Analisar os efeitos de sentido do uso de figuras de linguagem, como comparação, metáfora, metonímia, personificação, hipérbole, dentre outras.",EF67LP38,port,"g6, g7"
Campo jornalístico/midiático,Leitura,,,"Apreciação e réplica
Relação entre gêneros e mídias","Diferenciar liberdade de expressão de discursos de ódio, posicionando-se contrariamente a esse tipo de discurso e vislumbrando possibilidades de denúncia quando for o caso.",EF69LP01,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Leitura,,,"Apreciação e réplica
Relação entre gêneros e mídias","Analisar e comparar peças publicitárias variadas (cartazes, folhetos, outdoor, anúncios e propagandas em diferentes mídias, spots, jingle, vídeos etc.), de forma a perceber a articulação entre elas em campanhas, as especificidades das várias semioses e mídias, a adequação dessas peças ao público-alvo, aos objetivos do anunciante e/ou da campanha e à construção composicional e estilo dos gêneros em questão, como forma de ampliar suas possibilidades de compreensão (e produção) de textos pertencentes a esses gêneros.",EF69LP02,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Leitura,,,Estratégia de leitura: apreender os sentidos globais do texto,"Identificar, em notícias, o fato central, suas principais circunstâncias e eventuais decorrências; em reportagens e fotorreportagens o fato ou a temática retratada e a perspectiva de abordagem, em entrevistas os principais temas/subtemas abordados, explicações dadas ou teses defendidas em relação a esses subtemas; em tirinhas, memes, charge, a crítica, ironia ou humor presente.",EF69LP03,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Leitura,,,Efeitos de sentido,"Identificar e analisar os efeitos de sentido que fortalecem a persuasão nos textos publicitários, relacionando as estratégias de persuasão e apelo ao consumo com os recursos linguístico-discursivos utilizados, como imagens, tempo verbal, jogos de palavras, figuras de linguagem etc., com vistas a fomentar práticas de consumo conscientes.",EF69LP04,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Leitura,,,Efeitos de sentido,"Inferir e justificar, em textos multissemióticos – tirinhas, charges, memes, gifs etc. –, o efeito de humor, ironia e/ou crítica pelo uso ambíguo de palavras, expressões ou imagens ambíguas, de clichês, de recursos iconográficos, de pontuação etc.",EF69LP05,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Produção de textos,,,Relação do texto com o contexto de produção e experimentação de papéis sociais,"Produzir e publicar notícias, fotodenúncias, fotorreportagens, reportagens, reportagens multimidiáticas, infográficos, podcasts noticiosos, entrevistas, cartas de leitor, comentários, artigos de opinião de interesse local ou global, textos de apresentação e apreciação de produção cultural – resenhas e outros próprios das formas de expressão das culturas juvenis, tais como vlogs e podcasts culturais, gameplay, detonado etc.– e cartazes, anúncios, propagandas, spots, jingles de campanhas sociais, dentre outros em várias mídias, vivenciando de forma significativa o papel de repórter, de comentador, de analista, de crítico, de editor ou articulista, de booktuber, de vlogger (vlogueiro) etc., como forma de compreender as condições de produção que envolvem a circulação desses textos e poder participar e vislumbrar possibilidades de participação nas práticas de linguagem do campo jornalístico e do campo midiático de forma ética e responsável, levando-se em consideração o contexto da Web 2.0, que amplia a possibilidade de circulação desses textos e “funde” os papéis de leitor e autor, de consumidor e produtor.",EF69LP06,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Produção de textos,,,Textualização,"Produzir textos em diferentes gêneros, considerando sua adequação ao contexto produção e circulação – os enunciadores envolvidos, os objetivos, o gênero, o suporte, a circulação -, ao modo (escrito ou oral; imagem estática ou em movimento etc.), à variedade linguística e/ou semiótica apropriada a esse contexto, à construção da textualidade relacionada às propriedades textuais e do gênero), utilizando estratégias de planejamento, elaboração, revisão, edição, reescrita/redesign e avaliação de textos, para, com a ajuda do professor e a colaboração dos colegas, corrigir e aprimorar as produções realizadas, fazendo cortes, acréscimos, reformulações, correções de concordância, ortografia, pontuação em textos e editando imagens, arquivos sonoros, fazendo cortes, acréscimos, ajustes, acrescentando/ alterando efeitos, ordenamentos etc.",EF69LP07,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Produção de textos,,,Revisão/edição de texto informativo e opinativo,"Revisar/editar o texto produzido – notícia, reportagem, resenha, artigo de opinião, dentre outros –, tendo em vista sua adequação ao contexto de produção, a mídia em questão, características do gênero, aspectos relativos à textualidade, a relação entre as diferentes semioses, a formatação e uso adequado das ferramentas de edição (de texto, foto, áudio e vídeo, dependendo do caso) e adequação à norma culta.",EF69LP08,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Produção de textos,,,Planejamento de textos de peças publicitárias de campanhas sociais,"Planejar uma campanha publicitária sobre questões/problemas, temas, causas significativas para a escola e/ou comunidade, a partir de um levantamento de material sobre o tema ou evento, da definição do público-alvo, do texto ou peça a ser produzido – cartaz, banner, folheto, panfleto, anúncio impresso e para internet, spot, propaganda de rádio, TV etc. –, da ferramenta de edição de texto, áudio ou vídeo que será utilizada, do recorte e enfoque a ser dado, das estratégias de persuasão que serão utilizadas etc.",EF69LP09,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,"Oralidade
*Considerar todas as habilidades dos eixos leitura e produção que se referem a textos ou produções orais, em áudio ou vídeo",,,Produção de textos jornalísticos orais,"Produzir notícias para rádios, TV ou vídeos, podcasts noticiosos e de opinião, entrevistas, comentários, vlogs, jornais radiofônicos e televisivos, dentre outros possíveis, relativos a fato e temas de interesse pessoal, local ou global e textos orais de apreciação e opinião – podcasts e vlogs noticiosos, culturais e de opinião, orientando-se por roteiro ou texto, considerando o contexto de produção e demonstrando domínio dos gêneros.",EF69LP10,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,"Oralidade
*Considerar todas as habilidades dos eixos leitura e produção que se referem a textos ou produções orais, em áudio ou vídeo",,,Produção de textos jornalísticos orais,"Identificar e analisar posicionamentos defendidos e refutados na escuta de interações polêmicas em entrevistas, discussões e debates (televisivo, em sala de aula, em redes sociais etc.), entre outros, e se posicionar frente a eles.",EF69LP11,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,"Oralidade
*Considerar todas as habilidades dos eixos leitura e produção que se referem a textos ou produções orais, em áudio ou vídeo",,,Planejamento e produção de textos jornalísticos orais,"Desenvolver estratégias de planejamento, elaboração, revisão, edição, reescrita/ redesign (esses três últimos quando não for situação ao vivo) e avaliação de textos orais, áudio e/ou vídeo, considerando sua adequação aos contextos em que foram produzidos, à forma composicional e estilo de gêneros, a clareza, progressão temática e variedade linguística empregada, os elementos relacionados à fala, tais como modulação de voz, entonação, ritmo, altura e intensidade, respiração etc., os elementos cinésicos, tais como postura corporal, movimentos e gestualidade significativa, expressão facial, contato de olho com plateia etc.",EF69LP12,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Oralidade,,,Participação em discussões orais de temas controversos de interesse da turma e/ou de relevância social,"Engajar-se e contribuir com a busca de conclusões comuns relativas a problemas, temas ou questões polêmicas de interesse da turma e/ou de relevância social.",EF69LP13,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Oralidade,,,Participação em discussões orais de temas controversos de interesse da turma e/ou de relevância social,"Formular perguntas e decompor, com a ajuda dos colegas e dos professores, tema/questão polêmica, explicações e ou argumentos relativos ao objeto de discussão para análise mais minuciosa e buscar em fontes diversas informações ou dados que permitam analisar partes da questão e compartilhá-los com a turma.",EF69LP14,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Oralidade,,,Participação em discussões orais de temas controversos de interesse da turma e/ou de relevância social,"Apresentar argumentos e contra-argumentos coerentes, respeitando os turnos de fala, na participação em discussões sobre temas controversos e/ou polêmicos.",EF69LP15,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Análise linguística/semiótica,,,Construção composicional,"Analisar e utilizar as formas de composição dos gêneros jornalísticos da ordem do relatar, tais como notícias (pirâmide invertida no impresso X blocos noticiosos hipertextuais e hipermidiáticos no digital, que também pode contar com imagens de vários tipos, vídeos, gravações de áudio etc.), da ordem do argumentar, tais como artigos de opinião e editorial (contextualização, defesa de tese/opinião e uso de argumentos) e das entrevistas: apresentação e contextualização do entrevistado e do tema, estrutura pergunta e resposta etc.",EF69LP16,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Análise linguística/semiótica,,,Estilo,"Perceber e analisar os recursos estilísticos e semióticos dos gêneros jornalísticos e publicitários, os aspectos relativos ao tratamento da informação em notícias, como a ordenação dos eventos, as escolhas lexicais, o efeito de imparcialidade do relato, a morfologia do verbo, em textos noticiosos e argumentativos, reconhecendo marcas de pessoa, número, tempo, modo, a distribuição dos verbos nos gêneros textuais (por exemplo, as formas de pretérito em relatos; as formas de presente e futuro em gêneros argumentativos; as formas de imperativo em gêneros publicitários), o uso de recursos persuasivos em textos argumentativos diversos (como a elaboração do título, escolhas lexicais, construções metafóricas, a explicitação ou a ocultação de fontes de informação) e as estratégias de persuasão e apelo ao consumo com os recursos linguístico-discursivos utilizados (tempo verbal, jogos de palavras, metáforas, imagens).",EF69LP17,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Análise linguística/semiótica,,,Estilo,"Utilizar, na escrita/reescrita de textos argumentativos, recursos linguísticos que marquem as relações de sentido entre parágrafos e enunciados do texto e operadores de conexão adequados aos tipos de argumento e à forma de composição de textos argumentativos, de maneira a garantir a coesão, a coerência e a progressão temática nesses textos (“primeiramente, mas, no entanto, em primeiro/segundo/terceiro lugar, finalmente, em conclusão” etc.).",EF69LP18,port,"g6, g7, g8, g9"
Campo jornalístico/midiático,Análise linguística/semiótica,,,Efeito de sentido,"Analisar, em gêneros orais que envolvam argumentação, os efeitos de sentido de elementos típicos da modalidade falada, como a pausa, a entonação, o ritmo, a gestualidade e expressão facial, as hesitações etc.",EF69LP19,port,"g6, g7, g8, g9"
Campo de atuação na vida pública,Leitura,,,"Reconstrução das condições de produção e circulação e adequação do texto à construção composicional e ao estilo de gênero
(Lei, código, estatuto, código, regimento etc.)","Identificar, tendo em vista o contexto de produção, a forma de organização dos textos normativos e legais, a lógica de hierarquização de seus itens e subitens e suas partes: parte inicial (título – nome e data – e ementa), blocos de artigos (parte, livro, capítulo, seção, subseção), artigos (caput e parágrafos e incisos) e parte final (disposições pertinentes à sua implementação) e analisar efeitos de sentido causados pelo uso de vocabulário técnico, pelo uso do imperativo, de palavras e expressões que indicam circunstâncias, como advérbios e locuções adverbiais, de palavras que indicam generalidade, como alguns pronomes indefinidos, de forma a poder compreender o caráter imperativo, coercitivo e generalista das leis e de outras formas de regulamentação.",EF69LP20,port,"g6, g7, g8, g9"
Campo de atuação na vida pública,Leitura,,,Apreciação e réplica,"Posicionar-se em relação a conteúdos veiculados em práticas não institucionalizadas de participação social, sobretudo àquelas vinculadas a manifestações artísticas, produções culturais, intervenções urbanas e práticas próprias das culturas juvenis que pretendam denunciar, expor uma problemática ou “convocar” para uma reflexão/ação, relacionando esse texto/produção com seu contexto de produção e relacionando as partes e semioses presentes para a construção de sentidos.",EF69LP21,port,"g6, g7, g8, g9"
Campo de atuação na vida pública,Produção de textos,,,"Textualização, revisão e edição","Produzir, revisar e editar textos reivindicatórios ou propositivos sobre problemas que afetam a vida escolar ou da comunidade, justificando pontos de vista, reivindicações e detalhando propostas (justificativa, objetivos, ações previstas etc.), levando em conta seu contexto de produção e as características dos gêneros em questão.",EF69LP22,port,"g6, g7, g8, g9"
