name,subject_codes,year_codes
"Compreender a si e ao outro como identidades diferentes, de forma a exercitar o respeito à diferença em uma sociedade plural e promover os direitos humanos.",hsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Analisar o mundo social, cultural e digital e o meio técnico-científico-informacional com base nos conhecimentos das Ciências Humanas, considerando suas variações de significado no tempo e no espaço, para intervir em situações do cotidiano e se posicionar diante de problemas do mundo contemporâneo.",hsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Identificar, comparar e explicar a intervenção do ser humano na natureza e na sociedade, exercitando a curiosidade e propondo ideias e ações que contribuam para a transformação espacial, social e cultural, de modo a participar efetivamente das dinâmicas da vida social.",hsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Interpretar e expressar sentimentos, crenças e dúvidas com relação a si mesmo, aos outros e às diferentes culturas, com base nos instrumentos de investigação das Ciências Humanas, promovendo o acolhimento e a valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceitos de qualquer natureza.",hsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Comparar eventos ocorridos simultaneamente no mesmo espaço e em espaços variados, e eventos ocorridos em tempos diferentes no mesmo espaço e em espaços variados.",hsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Construir argumentos, com base nos conhecimentos das Ciências Humanas, para negociar e defender ideias e opiniões que respeitem e promovam os direitos humanos e a consciência socioambiental, exercitando a responsabilidade e o protagonismo voltados para o bem comum e a construção de uma sociedade justa, democrática e inclusiva.",hsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Utilizar as linguagens cartográfica, gráfica e iconográfica e diferentes gêneros textuais e tecnologias digitais de informação e comunicação no desenvolvimento do raciocínio espaço-temporal relacionado a localização, distância, direção, duração, simultaneidade, sucessão, ritmo e conexão.",hsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Conviver com a diversidade de crenças, pensamentos, convicções, modos de ser e viver.",reli,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Conhecer os aspectos estruturantes das diferentes tradições/movimentos religiosos e filosofias de vida, a partir de pressupostos científicos, filosóficos, estéticos e éticos.",reli,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Compreender, valorizar e respeitar as manifestações religiosas e filosofias de vida, suas experiências e saberes, em diferentes tempos, espaços e territórios.",reli,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Reconhecer e cuidar de si, do outro, da coletividade e da natureza, enquanto expressão de valor da vida.",reli,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Analisar as relações entre as tradições religiosas e os campos da cultura, da política, da economia, da saúde, da ciência, da tecnologia e do meio ambiente.",reli,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Debater, problematizar e posicionar-se frente aos discursos e práticas de intolerância, discriminação e violência de cunho religioso, de modo a assegurar os direitos humanos no constante exercício da cidadania e da cultura de paz.",reli,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Compreender as linguagens como construção humana, histórica, social e cultural, de natureza dinâmica, reconhecendo-as e valorizando-as como formas de significação da realidade e expressão de subjetividades e identidades sociais e culturais.",lang,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Conhecer e explorar diversas práticas de linguagem (artísticas, corporais e linguísticas) em diferentes campos da atividade humana para continuar aprendendo, ampliar suas possibilidades de participação na vida social e colaborar para a construção de uma sociedade mais justa, democrática e inclusiva.",lang,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Utilizar diferentes linguagens – verbal (oral ou visual-motora, como Libras, e escrita), corporal, visual, sonora e digital –, para se expressar e partilhar informações, experiências, ideias e sentimentos em diferentes contextos e produzir sentidos que levem ao diálogo, à resolução de conflitos e à cooperação.",lang,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Utilizar diferentes linguagens para defender pontos de vista que respeitem o outro e promovam os direitos humanos, a consciência socioambiental e o consumo responsável em âmbito local, regional e global, atuando criticamente frente a questões do mundo contemporâneo.",lang,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Desenvolver o senso estético para reconhecer, fruir e respeitar as diversas manifestações artísticas e culturais, das locais às mundiais, inclusive aquelas pertencentes ao patrimônio cultural da humanidade, bem como participar de práticas diversificadas, individuais e coletivas, da produção artístico-cultural, com respeito à diversidade de saberes, identidades e culturas.",lang,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Compreender e utilizar tecnologias digitais de informação e comunicação de forma crítica, significativa, reflexiva e ética nas diversas práticas sociais (incluindo as escolares), para se comunicar por meio das diferentes linguagens e mídias, produzir conhecimentos, resolver problemas e desenvolver projetos autorais e coletivos.",lang,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Reconhecer que a Matemática é uma ciência humana, fruto das necessidades e preocupações de diferentes culturas, em diferentes momentos históricos, e é uma ciência viva, que contribui para solucionar problemas científicos e tecnológicos e para alicerçar descobertas e construções, inclusive com impactos no mundo do trabalho.",math,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Desenvolver o raciocínio lógico, o espírito de investigação e a capacidade de produzir argumentos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo.",math,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.",math,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Fazer observações sistemáticas de aspectos quantitativos e qualitativos presentes nas práticas sociais e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumentos convincentes.",math,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhecimento, validando estratégias e resultados.",math,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não diretamente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados).",math,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Desenvolver e/ou discutir projetos que abordem, sobretudo, questões de urgência social, com base em princípios éticos, democráticos, sustentáveis e solidários, valorizando a diversidade de opiniões de indivíduos e de grupos sociais, sem preconceitos de qualquer natureza.",math,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Interagir com seus pares de forma cooperativa, trabalhando coletivamente no planejamento e desenvolvimento de pesquisas para responder a questionamentos e na busca de soluções para problemas, de modo a identificar aspectos consensuais ou não na discussão de uma determinada questão, respeitando o modo de pensar dos colegas e aprendendo com eles.",math,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Compreender as Ciências da Natureza como empreendimento humano, e o conhecimento científico como provisório, cultural e histórico.",nsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Compreender conceitos fundamentais e estruturas explicativas das Ciências da Natureza, bem como dominar processos, práticas e procedimentos da investigação científica, de modo a sentir segurança no debate de questões científicas, tecnológicas, socioambientais e do mundo do trabalho, continuar aprendendo e colaborar para a construção de uma sociedade justa, democrática e inclusiva.",nsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Analisar, compreender e explicar características, fenômenos e processos relativos ao mundo natural, social e tecnológico (incluindo o digital), como também as relações que se estabelecem entre eles, exercitando a curiosidade para fazer perguntas, buscar respostas e criar soluções (inclusive tecnológicas) com base nos conhecimentos das Ciências da Natureza.",nsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Avaliar aplicações e implicações políticas, socioambientais e culturais da ciência e de suas tecnologias para propor alternativas aos desafios do mundo contemporâneo, incluindo aqueles relativos ao mundo do trabalho.",nsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Construir argumentos com base em dados, evidências e informações confiáveis e negociar e defender ideias e pontos de vista que promovam a consciência socioambiental e o respeito a si próprio e ao outro, acolhendo e valorizando a diversidade de indivíduos e de grupos sociais, sem preconceitos de qualquer natureza.",nsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Utilizar diferentes linguagens e tecnologias digitais de informação e comunicação para se comunicar, acessar e disseminar informações, produzir conhecimentos e resolver problemas das Ciências da Natureza de forma crítica, significativa, reflexiva e ética.",nsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Conhecer, apreciar e cuidar de si, do seu corpo e bem-estar, compreendendo-se na diversidade humana, fazendo-se respeitar e respeitando o outro, recorrendo aos conhecimentos das Ciências da Natureza e às suas tecnologias.",nsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Agir pessoal e coletivamente com respeito, autonomia, responsabilidade, flexibilidade, resiliência e determinação, recorrendo aos conhecimentos das Ciências da Natureza para tomar decisões frente a questões científico-tecnológicas e socioambientais e a respeito da saúde individual e coletiva, com base em princípios éticos, democráticos, sustentáveis e solidários.",nsci,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Reconhecer o texto como lugar de manifestação e negociação de sentidos, valores e ideologias.",port,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Compreender a língua como fenômeno cultural, histórico, social, variável, heterogêneo e sensível aos contextos de uso, reconhecendo-a como meio de construção de identidades de seus usuários e da comunidade a que pertencem.",port,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Apropriar-se da linguagem escrita, reconhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.",port,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Ler, escutar e produzir textos orais, escritos e multissemióticos que circulam em diferentes campos de atuação e mídias, com compreensão, autonomia, ﬂuência e criticidade, de modo a se expressar e partilhar informações, experiências, ideias e sentimentos, e continuar aprendendo.",port,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Compreender o fenômeno da variação linguística, demonstrando atitude respeitosa diante de variedades linguísticas e rejeitando preconceitos linguísticos.",port,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Empregar, nas interações sociais, a variedade e o estilo de linguagem adequados à situação comunicativa, ao(s) interlocutor(es) e ao gênero do discurso/gênero textual.",port,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Analisar informações, argumentos e opiniões manifestados em interações sociais e nos meios de comunicação, posicionando-se ética e criticamente em relação a conteúdos discriminatórios que ferem direitos humanos e ambientais.",port,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Selecionar textos e livros para leitura integral, de acordo com objetivos, interesses e projetos pessoais (estudo, formação pessoal, entretenimento, pesquisa, trabalho etc.).",port,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Envolver-se em práticas de leitura literária que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.",port,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Mobilizar práticas da cultura digital, diferentes linguagens, mídias e ferramentas digitais para expandir as formas de produzir sentidos (nos processos de compreensão e produção), aprender e refletir sobre o mundo e realizar diferentes projetos autorais.",port,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Explorar, conhecer, fruir e analisar criticamente práticas e produções artísticas e culturais do seu entorno social, dos povos indígenas, das comunidades tradicionais brasileiras e de diversas sociedades, em distintos tempos e espaços, para reconhecer a arte como um fenômeno cultural, histórico, social e sensível a diferentes contextos e dialogar com as diversidades.",arts,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Compreender as relações entre as linguagens da Arte e suas práticas integradas, inclusive aquelas possibilitadas pelo uso das novas tecnologias de informação e comunicação, pelo cinema e pelo audiovisual, nas condições particulares de produção, na prática de cada linguagem e nas suas articulações.",arts,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Pesquisar e conhecer distintas matrizes estéticas e culturais – especialmente aquelas manifestas na arte e nas culturas que constituem a identidade brasileira –, sua tradição e manifestações contemporâneas, reelaborando-as nas criações em Arte.",arts,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Experienciar a ludicidade, a percepção, a expressividade e a imaginação, ressignificando espaços da escola e de fora dela no âmbito da Arte.",arts,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Mobilizar recursos tecnológicos como formas de registro, pesquisa e criação artística.",arts,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Estabelecer relações entre arte, mídia, mercado e consumo, compreendendo, de forma crítica e problematizadora, modos de produção e de circulação da arte na sociedade.",arts,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Problematizar questões políticas, sociais, econômicas, científicas, tecnológicas e culturais, por meio de exercícios, produções, intervenções e apresentações artísticas.",arts,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Desenvolver a autonomia, a crítica, a autoria e o trabalho coletivo e colaborativo nas artes.",arts,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Analisar e valorizar o patrimônio artístico nacional e internacional, material e imaterial, com suas histórias e diferentes visões de mundo.",arts,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
Compreender a origem da cultura corporal de movimento e seus vínculos com a organização da vida coletiva e individual.,move,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Planejar e empregar estratégias para resolver desafios e aumentar as possibilidades de aprendizagem das práticas corporais, além de se envolver no processo de ampliação do acervo cultural nesse campo.",move,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Refletir, criticamente, sobre as relações entre a realização das práticas corporais e os processos de saúde/doença, inclusive no contexto das atividades laborais.",move,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Identificar a multiplicidade de padrões de desempenho, saúde, beleza e estética corporal, analisando, criticamente, os modelos disseminados na mídia e discutir posturas consumistas e preconceituosas.",move,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Identificar as formas de produção dos preconceitos, compreender seus efeitos e combater posicionamentos discriminatórios em relação às práticas corporais e aos seus participantes.",move,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Interpretar e recriar os valores, os sentidos e os significados atribuídos às diferentes práticas corporais, bem como aos sujeitos que delas participam.",move,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
Reconhecer as práticas corporais como elementos constitutivos da identidade cultural dos povos e grupos.,move,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Usufruir das práticas corporais de forma autônoma para potencializar o envolvimento em contextos de lazer, ampliar as redes de sociabilidade e a promoção da saúde.",move,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Reconhecer o acesso às práticas corporais como direito do cidadão, propondo e produzindo alternativas para sua realização no contexto comunitário.",move,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Experimentar, desfrutar, apreciar e criar diferentes brincadeiras, jogos, danças, ginásticas, esportes, lutas e práticas corporais de aventura, valorizando o trabalho coletivo e o protagonismo.",move,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Identificar o lugar de si e o do outro em um mundo plurilíngue e multicultural, refletindo, criticamente, sobre como a aprendizagem da língua inglesa contribui para a inserção dos sujeitos no mundo globalizado, inclusive no que concerne ao mundo do trabalho.",engl,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Comunicar-se na língua inglesa, por meio do uso variado de linguagens em mídias impressas ou digitais, reconhecendo-a como ferramenta de acesso ao conhecimento, de ampliação das perspectivas e de possibilidades para a compreensão dos valores e interesses de outras culturas e para o exercício do protagonismo social.",engl,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Identificar similaridades e diferenças entre a língua inglesa e a língua materna/outras línguas, articulando-as a aspectos sociais, culturais e identitários, em uma relação intrínseca entre língua, cultura e identidade.",engl,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Elaborar repertórios linguístico-discursivos da língua inglesa, usados em diferentes países e por grupos sociais distintos dentro de um mesmo país, de modo a reconhecer a diversidade linguística como direito e valorizar os usos heterogêneos, híbridos e multimodais emergentes nas sociedades contemporâneas.",engl,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Utilizar novas tecnologias, com novas linguagens e modos de interação, para pesquisar, selecionar, compartilhar, posicionar-se e produzir sentidos em práticas de letramento na língua inglesa, de forma ética, crítica e responsável.",engl,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Conhecer diferentes patrimônios culturais, materiais e imateriais, difundidos na língua inglesa, com vistas ao exercício da fruição e da ampliação de perspectivas no contato com diferentes manifestações artístico-culturais.",engl,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
Utilizar os conhecimentos geográficos para entender a interação sociedade/natureza e exercitar o interesse e o espírito de investigação e de resolução de problemas.,geog,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Estabelecer conexões entre diferentes temas do conhecimento geográfico, reconhecendo a importância dos objetos técnicos para a compreensão das formas como os seres humanos fazem uso dos recursos da natureza ao longo da história.",geog,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Desenvolver autonomia e senso crítico para compreensão e aplicação do raciocínio geográfico na análise da ocupação humana e produção do espaço, envolvendo os princípios de analogia, conexão, diferenciação, distribuição, extensão, localização e ordem.",geog,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Desenvolver o pensamento espacial, fazendo uso das linguagens cartográficas e iconográficas, de diferentes gêneros textuais e das geotecnologias para a resolução de problemas que envolvam informações geográficas.",geog,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Desenvolver e utilizar processos, práticas e procedimentos de investigação para compreender o mundo natural, social, econômico, político e o meio técnico-científico e informacional, avaliar ações e propor perguntas e soluções (inclusive tecnológicas) para questões que requerem conhecimentos científicos da Geografia.",geog,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Construir argumentos com base em informações geográficas, debater e defender ideias e pontos de vista que respeitem e promovam a consciência socioambiental e o respeito à biodiversidade e ao outro, sem preconceitos de qualquer natureza.",geog,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Agir pessoal e coletivamente com respeito, autonomia, responsabilidade, flexibilidade, resiliência e determinação, propondo ações sobre as questões socioambientais, com base em princípios éticos, democráticos, sustentáveis e solidários.",geog,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
Compreender e problematizar os conceitos e procedimentos norteadores da produção historiográfica.,hist,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Compreender acontecimentos históricos, relações de poder e processos e mecanismos de transformação e manutenção das estruturas sociais, políticas, econômicas e culturais ao longo do tempo e em diferentes espaços para analisar, posicionar-se e intervir no mundo contemporâneo.",hist,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Compreender a historicidade no tempo e no espaço, relacionando acontecimentos e processos de transformação e manutenção das estruturas sociais, políticas, econômicas e culturais, bem como problematizar os significados das lógicas de organização cronológica.",hist,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Elaborar questionamentos, hipóteses, argumentos e proposições em relação a documentos, interpretações e contextos históricos específicos, recorrendo a diferentes linguagens e mídias, exercitando a empatia, o diálogo, a resolução de conflitos, a cooperação e o respeito.",hist,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Identificar interpretações que expressem visões de diferentes sujeitos, culturas e povos com relação a um mesmo contexto histórico, e posicionar-se criticamente com base em princípios éticos, democráticos, inclusivos, sustentáveis e solidários.",hist,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Analisar e compreender o movimento de populações e mercadorias no tempo e no espaço e seus significados históricos, levando em conta o respeito e a solidariedade com as diferentes populações.",hist,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Produzir, avaliar e utilizar tecnologias digitais de informação e comunicação de modo crítico, ético e responsável, compreendendo seus significados para os diferentes grupos ou estratos sociais.",hist,"g1, g2, g3, g4, g5, g6, g7, g8, g9"
"Compreender o funcionamento das diferentes linguagens e práticas culturais (artísticas, corporais e verbais) e mobilizar esses conhecimentos na recepção e produção de discursos nos diferentes campos de atuação social e nas diversas mídias, para ampliar as formas de participação social, o entendimento e as possibilidades de explicação e interpretação crítica da realidade e para continuar aprendendo.",lang,"g10, g11, g12"
"Compreender os processos identitários, conflitos e relações de poder que permeiam as práticas sociais de linguagem, respeitando as diversidades e a pluralidade de ideias e posições, e atuar socialmente com base em princípios e valores assentados na democracia, na igualdade e nos Direitos Humanos, exercitando o autoconhecimento, a empatia, o diálogo, a resolução de conflitos e a cooperação, e combatendo preconceitos de qualquer natureza.",lang,"g10, g11, g12"
"Utilizar diferentes linguagens (artísticas, corporais e verbais) para exercer, com autonomia e colaboração, protagonismo e autoria na vida pessoal e coletiva, de forma crítica, criativa, ética e solidária, defendendo pontos de vista que respeitem o outro e promovam os Direitos Humanos, a consciência socioambiental e o consumo responsável, em âmbito local, regional e global.",lang,"g10, g11, g12"
"Compreender as línguas como fenômeno (geo)político, histórico, cultural, social, variável, heterogêneo e sensível aos contextos de uso, reconhecendo suas variedades e vivenciando-as como formas de expressões identitárias, pessoais e coletivas, bem como agindo no enfrentamento de preconceitos de qualquer natureza.",lang,"g10, g11, g12"
"Compreender  os  processos  de  produção  e  negociação  de  sentidos  nas  práticas  corporais, reconhecendo-as e vivenciando-as como formas de expressão de valores e identidades, em uma perspectiva democrática e de respeito à diversidade.",lang,"g10, g11, g12"
"Apreciar  esteticamente  as  mais  diversas  produções  artísticas  e  culturais,  considerando  suas características  locais,  regionais  e  globais,  e  mobilizar  seus  conhecimentos  sobre  as  linguagens artísticas para dar significado e (re)construir produções autorais individuais e coletivas, exercendo protagonismo de maneira crítica e criativa, com respeito à diversidade de saberes, identidades e culturas.",lang,"g10, g11, g12"
"Mobilizar práticas de linguagem no universo digital, considerando as dimensões técnicas, críticas, criativas, éticas e estéticas, para expandir as formas de produzir sentidos, de engajar-se em práticas autorais e coletivas, e de aprender a aprender nos campos da ciência, cultura, trabalho, informação e vida pessoal e coletiva.",lang,"g10, g11, g12"
"Utilizar estratégias, conceitos e procedimentos matemáticos para interpretar situações em diversos contextos, sejam atividades cotidianas, sejam fatos das Ciências da Natureza e Humanas, das questões socioeconômicas ou tecnológicas, divulgados por diferentes meios, de modo a contribuir para uma formação geral.",math,"g10, g11, g12"
"Propor ou participar de ações para investigar desafios do mundo contemporâneo e tomar decisões éticas e socialmente responsáveis, com base na análise de problemas sociais, como os voltados a situações  de  saúde,  sustentabilidade,  das  implicações  da  tecnologia  no  mundo  do  trabalho,  entre outros, mobilizando e articulando conceitos, procedimentos e linguagens próprios da Matemática.",math,"g10, g11, g12"
"Utilizar  estratégias,  conceitos,  definições  e  procedimentos  matemáticos  para  interpretar,  construir modelos e resolver problemas em diversos contextos, analisando a plausibilidade dos resultados e a adequação das soluções propostas, de modo a construir argumentação consistente.",math,"g10, g11, g12"
"Compreender e utilizar, com flexibilidade e precisão, diferentes registros de representação matemáticos (algébrico,  geométrico,  estatístico,  computacional  etc.),  na  busca  de  solução  e  comunicação  de resultados de problemas.",math,"g10, g11, g12"
"Investigar e estabelecer conjecturas a respeito de diferentes conceitos e propriedades matemáticas, empregando  estratégias  e  recursos,  como  observação  de  padrões,  experimentações  e  diferentes tecnologias,  identificando  a  necessidade,  ou  não,  de  uma  demonstração  cada  vez  mais  formal  na validação das referidas conjecturas.",math,"g10, g11, g12"
"Analisar  fenômenos  naturais  e  processos  tecnológicos,  com  base  nas  interações  e  relações  entre matéria e energia, para propor ações individuais e coletivas que aperfeiçoem processos produtivos, minimizem impactos socioambientais e melhorem as condições de vida em âmbito local, regional e global.",nsci,"g10, g11, g12"
"Analisar  e  utilizar  interpretações  sobre  a  dinâmica  da  Vida,  da  Terra  e  do  Cosmos  para  elaborar argumentos, realizar previsões sobre o funcionamento e a evolução dos seres vivos e do Universo, e fundamentar e defender decisões éticas e responsáveis.",nsci,"g10, g11, g12"
